里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,各里總案件數,女,男,小於18歲,18到65歲,大於65歲,兄弟姊妹間暴力Rank,老人保護Rank,兒少保護Rank,其他家虐Rank,親密關係Rank,低收Rank,障礙Rank
臺北市中山區晴光里,2,2,3,6,21,34,76.47%,23.53%,24%,71%,6%,70.00%,50%,73%,50%,96%,54%,81%
臺北市士林區社園里,,2,6,13,13,34,76.47%,23.53%,6%,71%,24%,,50%,97%,94%,70%,91%,0%
臺北市士林區明勝里,,1,2,14,17,34,41.18%,58.82%,6%,74%,21%,,0%,43%,97%,88%,94%,81%
臺北市萬華區華江里,1,6,3,9,14,33,72.73%,27.27%,15%,73%,12%,0.00%,97%,73%,76%,76%,86%,0%
臺北市信義區泰和里,1,3,2,13,14,33,63.64%,33.33%,6%,73%,21%,0.00%,79%,43%,94%,76%,71%,63%
臺北市文山區興旺里,1,2,1,12,17,33,69.70%,30.30%,6%,58%,36%,0.00%,50%,0%,91%,88%,34%,0%
臺北市文山區木新里,3,5,1,13,11,33,63.64%,36.36%,3%,73%,24%,87.00%,95%,0%,94%,55%,0%,0%
臺北市信義區三張里,3,1,6,10,12,32,59.38%,40.63%,6%,78%,16%,87.00%,0%,97%,82%,64%,34%,1%
臺北市松山區民福里,1,2,2,12,15,32,59.38%,40.63%,13%,75%,13%,0.00%,50%,43%,91%,81%,91%,1%
臺北市文山區萬美里,1,7,2,9,13,32,68.75%,25.00%,0%,97%,3%,0.00%,99%,43%,76%,70%,86%,96%
臺北市文山區萬芳里,4,2,5,9,12,32,65.63%,34.38%,6%,88%,6%,99.00%,50%,94%,76%,64%,86%,63%
臺北市內湖區港富里,3,,2,12,15,32,75.00%,21.88%,13%,75%,13%,87.00%,,43%,91%,81%,0%,0%
臺北市內湖區西康里,1,,1,10,20,32,56.25%,43.75%,22%,72%,6%,0.00%,,0%,82%,94%,0%,1%
臺北市大同區星明里,,2,3,12,15,32,59.38%,40.63%,3%,75%,22%,,50%,73%,91%,81%,71%,1%
臺北市大同區至聖里,1,2,2,11,16,32,75.00%,21.88%,9%,75%,16%,0.00%,50%,43%,86%,86%,71%,63%
臺北市南港區舊莊里,1,,2,5,23,31,67.74%,32.26%,10%,77%,13%,0.00%,,43%,39%,98%,78%,0%
臺北市信義區中行里,2,1,1,18,9,31,70.97%,29.03%,6%,84%,10%,70.00%,0%,0%,99%,42%,54%,0%
臺北市文山區華興里,1,2,3,9,16,31,64.52%,35.48%,6%,90%,3%,0.00%,50%,73%,76%,86%,78%,0%
臺北市內湖區葫洲里,,1,1,11,18,31,61.29%,35.48%,16%,74%,10%,,0%,0%,86%,91%,34%,0%
臺北市內湖區安泰里,,4,5,6,16,31,74.19%,25.81%,23%,65%,13%,,91%,94%,50%,86%,97%,63%
臺北市中山區劍潭里,1,2,4,10,14,31,64.52%,35.48%,3%,84%,13%,0.00%,50%,89%,82%,76%,34%,0%
臺北市中山區中山里,1,1,2,6,21,31,74.19%,25.81%,0%,87%,13%,0.00%,0%,43%,50%,96%,34%,0%
臺北市大同區南芳里,2,,2,9,18,31,77.42%,22.58%,3%,77%,19%,70.00%,,43%,76%,91%,97%,99%
臺北市萬華區興德里,,3,,9,18,30,73.33%,26.67%,7%,77%,17%,,79%,,76%,91%,91%,1%
